IDResp;Items
Resp_1;fourmi
Resp_1;moustique
Resp_1;criquet
Resp_1;araignee
Resp_1;puce
Resp_1;escargot
Resp_1;pou
Resp_1;pince_oreilles
Resp_1;libellule
Resp_1;luciole
Resp_1;scorpion
Resp_1;mouche
Resp_1;papillon
Resp_1;asticot
Resp_2;libellule
Resp_2;mouche
Resp_2;mante_religieuse
Resp_2;aoutat
Resp_2;tique
Resp_2;araignee
Resp_2;abeille
Resp_2;guepe
Resp_2;frelon
Resp_2;taon
Resp_2;fourmi
Resp_2;fourmi_rouge
Resp_2;puce
Resp_2;gendarme
Resp_2;coccinelle
Resp_2;bete_dorage
Resp_2;cafard
Resp_2;bourdon
Resp_2;criquet
Resp_2;coleoptere
Resp_2;scarabee
Resp_2;papillon
Resp_2;chenille
Resp_3;scarabee
Resp_3;sauterelle
Resp_3;coccinelle
Resp_3;mouche
Resp_3;cousin
Resp_3;mille_pattes
Resp_3;araignee
Resp_3;moustique_tigre
Resp_3;libellule
Resp_3;limace
Resp_3;scorpion
Resp_3;cigale
Resp_3;fourmi
Resp_3;mite
Resp_4;aoutat
Resp_4;hanneton
Resp_4;scarabee
Resp_4;moustique
Resp_4;taon
Resp_4;guepe
Resp_4;bourdon
Resp_4;frelon
Resp_4;abeille
Resp_4;puce
Resp_4;coccinelle
Resp_4;mouche
Resp_4;grillon
Resp_4;criquet
Resp_4;cigale
Resp_4;puce_de_sable
Resp_4;papillon
Resp_4;libellule
Resp_4;pou
Resp_4;doryphore
Resp_4;punaise
Resp_4;tique
Resp_5;guepe
Resp_5;frelon
Resp_5;moustique
Resp_5;araignee
Resp_5;mouche
Resp_5;hanneton
Resp_5;abeille
Resp_5;sauterelle
Resp_5;ver_de_terre
Resp_5;libellule
Resp_5;moucheron
Resp_5;gendarme
Resp_5;coccinelle
Resp_6;araignee
Resp_6;fourmi
Resp_6;mouche
Resp_6;moucheron
Resp_6;sauterelle
Resp_6;gendarme
Resp_6;criquet
Resp_6;coccinelle
Resp_6;abeille
Resp_6;guepe
Resp_6;frelon
Resp_6;mante_religieuse
Resp_6;phasme
Resp_6;oiseau_mouche
Resp_6;punaise
Resp_6;moustique
Resp_6;papillon
Resp_6;asticot
Resp_6;ver_de_terre
Resp_6;tique
Resp_7;fourmi
Resp_7;mouche
Resp_7;moustique
Resp_7;cafard
Resp_7;blatte
Resp_7;abeille
Resp_7;guepe
Resp_7;frelon
Resp_7;araignee
Resp_7;tique
Resp_7;criquet
Resp_7;sauterelle
Resp_7;grillon
Resp_8;araignee
Resp_8;mygale
Resp_8;tarentule
Resp_8;araignee_loup
Resp_8;coleoptere
Resp_8;coccinelle
Resp_8;scarabee
Resp_8;bousier
Resp_8;sauterelle
Resp_8;grillon
Resp_8;criquet
Resp_8;libellule
Resp_8;mante_religieuse
Resp_8;limace
Resp_8;escargot
Resp_8;mille_pattes
Resp_8;blatte
Resp_8;cafard
Resp_8;cloporte
Resp_8;ver_de_terre
Resp_8;vers_luisant
Resp_8;vermisseau
Resp_8;papillon
Resp_8;chenille
