Nom_Vernac;Nom_Vernac_Norm;Nom_Franc_Norm;Nom_Sc_Norm;Famille;Sous-Famille
Bachuellé;Bachuellé;Vervet;Cercopithecus aethiops;Cercopithecidae;Cercopithecinae
Badala;Badala;Indet01;Indet01;ukn;ukn
Bagalan;Bagalan;Colobe à manteau blanc;Colobus guereza;Cercopithecidae;Colobinae
Bagalav;bagalav;Eland de derby;Tragelaphus (Taurotragus) derbianus;Bovidae;Bovinae
Bagalérou;Bagalérou;Colobe à manteau blanc;Colobus guereza;Cercopithecidae;Colobinae
Bagoum;Bagoum;Babouin doguera;Papio anubis;Cercopithecidae;Cercopithecinae
Baidan mapoui;Baidan mapoui;Colobe à manteau blanc;Colobus guereza;Cercopithecidae;Colobinae
Baidan matabai;Baidan matabai;Babouin doguera;Papio anubis;Cercopithecidae;Cercopithecinae
Baidan medjoin;Baidan medjoin;Patas;Cercopithecus patas;Cercopithecidae;Cercopithecinae
Baiguima;Baiguima;Galago du Sénégal;Galago senegalensis;Galagidae;Galaginae
Bal;Bal;Cob de buffon;Kobus kob kob;Bovidae;Reduncinae
Balalav;Balalav;Hippotrague;Hippotragus equinus;Bovidae;Hippotraginae
Balgam;Balgam;Lion;Panthera leos;Felidae;Pantherinae
Ball;Bal;Cob de buffon;Kobus kob kob;Bovidae;Reduncinae
Balla;Balla;Cob de buffon;Kobus kob kob;Bovidae;Reduncinae
Ballé;Ballé;Eléphant;Loxodonta africana;Elephantidae;Elephantinae
Ban;Bang;Céphalophe à flanc roux;Cephalophus rufilatus;Bovidae;Cephalophinae
Bang;Bang;Céphalophe à flanc roux;Cephalophus rufilatus;Bovidae;Cephalophinae
Bangouréi;Bangouréi;Vervet;Cercopithecus aethiops;Cercopithecidae;Cercopithecinae
baranga;baranga;Colobe à manteau blanc;Colobus guereza;Cercopithecidae;Colobinae
Bavah;Bavah;Buffle;Syncerus caffer aequinoctialis;Bovidae;Bovinae
Baw;Baw;Hippotrague;Hippotragus equinus;Bovidae;Hippotraginae
Ba?ba?ma;baybayma;Anomalure nain;Anomalurus pusillus;Anomaluridae;Anomalurinae
Beckné;Beckné;Eléphant;Loxodonta africana;Elephantidae;Elephantinae
Beguéné;Beguéné;Eléphant;Loxodonta africana;Elephantidae;Elephantinae
Behlé;Behlé_Goussom;Phacochère;Phacochoerus africanus;Suidae;Suinae
Bellé;Bellé;Panthère;Pamthera pardus;Felidae;Pantherinae
Berderé;Berderé;Indet18;Indet18;ukn;ukn
Beureu;Beureu;Phacochère;Phacochoerus africanus;Suidae;Suinae
Bidak;Bidak;Eléphant;Loxodonta africana;Elephantidae;Elephantinae
Biga;Biga;Lycaon;Lycaons pictus;Canidae;Caninae
Bil;Bil;Bubale;Alcelaphus buselaphus major;Bovidae;Alcelaphinae
Bil vil;Bil vil;Damalisque;Damaliscus lunatus korringum;Bovidae;Alcelaphinae
Biltouki;Biltouki;Phacochère;Phacochoerus africanus;Suidae;Suinae
Bio;bio;Céphalophe de grimm;Cephalophus grimmia;Bovidae;Cephalophinae
Bissi;bissi;Céphalophe de grimm;Cephalophus grimmia;Bovidae;Cephalophinae
Boboroa;Boboroa;Ourebi;Ourebia ourebi;Bovidae;Antilopinae
Bodgonra;bodgonra;Eland de derby;Tragelaphus (Taurotragus) derbianus;Bovidae;Bovinae
Bodjel;Bojel;Lièvre;Lepus crawshayi;Leporidae;Leporinae
Bohsenwa;buzunga;Oryctérope;Orycteropus afer;Orycteropodidae;Orycteropodinae
Bohwa;Bohwa;Céphalophe à flanc roux;Cephalophus rufilatus;Bovidae;Cephalophinae
Bojel;Bojel;Lièvre;Lepus crawshayi;Leporidae;Leporinae
Boli;Boli;Chacal à flancs rayés;Canis adustus;Canidae;Caninae
Bolou;Bolou;Hyène;Crocuta crocuta;Hyaenidae;Hyaeninae
Bomdogué;Bomdogué;Oryctérope;Orycteropus afer;Orycteropodidae;Orycteropodinae
Bondock;Bondock;Indet10;Indet10;ukn;ukn
Booda;booda;Sitatunga;Tragalaphus spekei;Bovidae;Bovinae
Book;Book;Guib harnaché;Tragelaphus scriptus;Bovidae;Bovinae
Boowa;Bohwa;Céphalophe à flanc roux;Cephalophus rufilatus;Bovidae;Cephalophinae
Boreya;kpo'riya;Bubale;Alcelaphus buselaphus major;Bovidae;Alcelaphinae
Bouda;bouda;Vervet;Cercopithecus aethiops;Cercopithecidae;Cercopithecinae
Boudou;boudou;Vervet;Cercopithecus aethiops;Cercopithecidae;Cercopithecinae
Bouhol;Bouhol;Ourebi;Ourebia ourebi;Bovidae;Antilopinae
Briah;Briah;Patas;Cercopithecus patas;Cercopithecidae;Cercopithecinae
b'ukka;b'ukka;Cob de buffon;Kobus kob kob;Bovidae;Reduncinae
